Using Materials Project MACE for MACECalculator with C:\Users\evari\.cache\mace/20231203mace128L1_epoch199model
Using float32 for MACECalculator, which is faster but less accurate. Recommended for MD. Use float64 for geometry optimization.
      Step     Time          Energy          fmax
BFGS:    0 15:38:15      -61.685688        2.481756
BFGS:    1 15:38:16      -61.729050        3.029151
BFGS:    2 15:38:17      -61.780891        0.492862
BFGS:    3 15:38:17      -61.791466        0.335171
BFGS:    4 15:38:17      -61.800343        0.179057
BFGS:    5 15:38:17      -61.802341        0.137699
BFGS:    6 15:38:17      -61.804947        0.137252
BFGS:    7 15:38:17      -61.807922        0.216787
BFGS:    8 15:38:17      -61.812435        0.252584
BFGS:    9 15:38:17      -61.816669        0.190224
BFGS:   10 15:38:17      -61.819530        0.143459
BFGS:   11 15:38:17      -61.821262        0.116438
BFGS:   12 15:38:17      -61.822792        0.123959
BFGS:   13 15:38:17      -61.824745        0.151251
BFGS:   14 15:38:17      -61.827641        0.218679
BFGS:   15 15:38:17      -61.831509        0.265674
BFGS:   16 15:38:17      -61.836143        0.249408
BFGS:   17 15:38:17      -61.841156        0.185855
BFGS:   18 15:38:18      -61.845825        0.162395
BFGS:   19 15:38:18      -61.849701        0.167780
BFGS:   20 15:38:18      -61.852783        0.171211
BFGS:   21 15:38:18      -61.855736        0.169163
BFGS:   22 15:38:18      -61.859711        0.183222
BFGS:   23 15:38:18      -61.862892        0.302490
BFGS:   24 15:38:18      -61.867241        0.348342
BFGS:   25 15:38:18      -61.871510        0.188262
BFGS:   26 15:38:18      -61.875950        0.216918
BFGS:   27 15:38:18      -61.878490        0.221738
BFGS:   28 15:38:18      -61.882809        0.228695
BFGS:   29 15:38:18      -61.886345        0.171600
BFGS:   30 15:38:18      -61.885971        0.254003
BFGS:   31 15:38:18      -61.888760        0.068595
BFGS:   32 15:38:18      -61.889172        0.054836
BFGS:   33 15:38:18      -61.889812        0.028698
CHGNet v0.3.0 initialized with 412,525 parameters
CHGNet will run on cuda
      Step     Time          Energy          fmax
BFGS:    0 15:38:19      -63.974758        2.997322
BFGS:    1 15:38:19      -63.985229        4.117175
BFGS:    2 15:38:19      -64.065941        0.606857
BFGS:    3 15:38:19      -64.076088        0.330202
BFGS:    4 15:38:19      -64.088905        0.204293
BFGS:    5 15:38:19      -64.091507        0.185270
BFGS:    6 15:38:19      -64.095383        0.164713
BFGS:    7 15:38:19      -64.097298        0.115435
BFGS:    8 15:38:19      -64.098259        0.080359
BFGS:    9 15:38:19      -64.098991        0.070501
BFGS:   10 15:38:19      -64.099396        0.062990
BFGS:   11 15:38:19      -64.099800        0.044825
{"name": "candidate", "smiles": "O=C1OC(F)CO1", "n_atoms": 7, "mace": {"energy_ev": -61.88981246948242, "converged": true}, "chgnet": {"energy_ev": -64.09980010986328, "converged": true}, "xtb": {"homo_ev": -12.8198, "lumo_ev": -7.196, "total_energy_ev": -677.6852306713048}, "point_per_atom": [-8.841401781354632, -9.15711430140904, -12.8198], "in_envelope": true, "hull_ref": "envelope_stats_v2.json", "in_documented_families": true, "families_matched": ["ester", "carbonate"]}
