Using Materials Project MACE for MACECalculator with C:\Users\evari\.cache\mace/20231203mace128L1_epoch199model
Using float32 for MACECalculator, which is faster but less accurate. Recommended for MD. Use float64 for geometry optimization.
      Step     Time          Energy          fmax
BFGS:    0 15:36:13      -71.965569        3.441431
BFGS:    1 15:36:13      -72.440002        1.036396
BFGS:    2 15:36:14      -72.618652        0.824427
BFGS:    3 15:36:14      -72.727745        0.710281
BFGS:    4 15:36:14      -72.795670        0.478589
BFGS:    5 15:36:14      -72.840157        0.328570
BFGS:    6 15:36:14      -72.864426        0.281502
BFGS:    7 15:36:14      -72.879234        0.308070
BFGS:    8 15:36:14      -72.895920        0.299193
BFGS:    9 15:36:15      -72.912262        0.241597
BFGS:   10 15:36:15      -72.920525        0.118317
BFGS:   11 15:36:15      -72.923363        0.097324
BFGS:   12 15:36:15      -72.925026        0.095713
BFGS:   13 15:36:15      -72.927391        0.104463
BFGS:   14 15:36:15      -72.931099        0.199542
BFGS:   15 15:36:15      -72.936752        0.337861
BFGS:   16 15:36:15      -72.944908        0.408962
BFGS:   17 15:36:15      -72.955559        0.343306
BFGS:   18 15:36:15      -72.968338        0.241308
BFGS:   19 15:36:15      -72.983894        0.268709
BFGS:   20 15:36:15      -73.000595        0.371501
BFGS:   21 15:36:15      -73.015739        0.441824
BFGS:   22 15:36:15      -73.023300        0.256641
BFGS:   23 15:36:15      -73.026688        0.153935
BFGS:   24 15:36:15      -73.030937        0.051293
BFGS:   25 15:36:15      -73.031319        0.036442
CHGNet v0.3.0 initialized with 412,525 parameters
CHGNet will run on cuda
      Step     Time          Energy          fmax
BFGS:    0 15:36:16      -76.195755        2.404190
BFGS:    1 15:36:16      -76.385414        0.676381
BFGS:    2 15:36:16      -76.480080        0.628287
BFGS:    3 15:36:16      -76.550217        0.602080
BFGS:    4 15:36:16      -76.613518        0.458753
BFGS:    5 15:36:16      -76.646744        0.320999
BFGS:    6 15:36:16      -76.667030        0.206539
BFGS:    7 15:36:16      -76.672966        0.188828
BFGS:    8 15:36:16      -76.681328        0.219319
BFGS:    9 15:36:16      -76.687569        0.194396
BFGS:   10 15:36:16      -76.700508        0.143203
BFGS:   11 15:36:16      -76.704926        0.152461
BFGS:   12 15:36:16      -76.708633        0.119943
BFGS:   13 15:36:16      -76.710739        0.086120
BFGS:   14 15:36:16      -76.712334        0.107469
BFGS:   15 15:36:16      -76.713463        0.117960
BFGS:   16 15:36:16      -76.714561        0.081552
BFGS:   17 15:36:16      -76.716454        0.097894
BFGS:   18 15:36:17      -76.718643        0.176850
BFGS:   19 15:36:17      -76.722717        0.349482
BFGS:   20 15:36:17      -76.728333        0.403113
BFGS:   21 15:36:17      -76.735863        0.286497
BFGS:   22 15:36:17      -76.741524        0.141075
BFGS:   23 15:36:17      -76.745667        0.086505
BFGS:   24 15:36:17      -76.747505        0.084043
BFGS:   25 15:36:17      -76.749359        0.093174
BFGS:   26 15:36:17      -76.751106        0.035763
{"name": "candidate", "smiles": "FC(F)(F)N(C(F)(F)F)C(F)(F)F", "n_atoms": 13, "mace": {"energy_ev": -73.03131866455078, "converged": true}, "chgnet": {"energy_ev": -76.75110626220703, "converged": true}, "xtb": {"homo_ev": -15.7893, "lumo_ev": -2.7685, "total_energy_ev": -1413.4751539806903}, "point_per_atom": [-5.617793743426983, -5.903931250939002, -15.7893], "in_envelope": false, "hull_ref": "envelope_stats_v2.json", "in_documented_families": false, "families_matched": []}
