Using Materials Project MACE for MACECalculator with C:\Users\evari\.cache\mace/20231203mace128L1_epoch199model
Using float32 for MACECalculator, which is faster but less accurate. Recommended for MD. Use float64 for geometry optimization.
      Step     Time          Energy          fmax
BFGS:    0 15:34:42     -110.070847        1.500922
BFGS:    1 15:34:43     -110.227341        0.783788
BFGS:    2 15:34:44     -110.318909        0.471007
BFGS:    3 15:34:44     -110.344162        0.389950
BFGS:    4 15:34:44     -110.387863        0.356879
BFGS:    5 15:34:44     -110.435310        0.400998
BFGS:    6 15:34:44     -110.476082        0.413402
BFGS:    7 15:34:44     -110.498039        0.384394
BFGS:    8 15:34:44     -110.513229        0.344838
BFGS:    9 15:34:45     -110.528374        0.277943
BFGS:   10 15:34:45     -110.540016        0.211769
BFGS:   11 15:34:45     -110.546158        0.159776
BFGS:   12 15:34:45     -110.549156        0.101361
BFGS:   13 15:34:45     -110.551361        0.097388
BFGS:   14 15:34:45     -110.553299        0.101650
BFGS:   15 15:34:45     -110.555092        0.102886
BFGS:   16 15:34:45     -110.556961        0.119122
BFGS:   17 15:34:45     -110.559067        0.102894
BFGS:   18 15:34:45     -110.561249        0.120914
BFGS:   19 15:34:45     -110.563202        0.110460
BFGS:   20 15:34:45     -110.564781        0.083883
BFGS:   21 15:34:45     -110.566093        0.081417
BFGS:   22 15:34:45     -110.567192        0.061030
BFGS:   23 15:34:46     -110.568085        0.068017
BFGS:   24 15:34:46     -110.568871        0.069118
BFGS:   25 15:34:46     -110.569717        0.072139
BFGS:   26 15:34:46     -110.570778        0.076749
BFGS:   27 15:34:46     -110.572006        0.082402
BFGS:   28 15:34:47     -110.573067        0.076045
BFGS:   29 15:34:47     -110.573753        0.058061
BFGS:   30 15:34:47     -110.574181        0.051828
BFGS:   31 15:34:47     -110.574547        0.045098
CHGNet v0.3.0 initialized with 412,525 parameters
CHGNet will run on cuda
      Step     Time          Energy          fmax
BFGS:    0 15:34:48     -116.204666        1.920071
BFGS:    1 15:34:48     -116.360809        0.595517
BFGS:    2 15:34:48     -116.412140        0.404413
BFGS:    3 15:34:48     -116.447296        0.324110
BFGS:    4 15:34:48     -116.463120        0.300285
BFGS:    5 15:34:48     -116.504448        0.369303
BFGS:    6 15:34:48     -116.539429        0.428216
BFGS:    7 15:34:48     -116.567955        0.296073
BFGS:    8 15:34:48     -116.580231        0.281033
BFGS:    9 15:34:48     -116.590439        0.243773
BFGS:   10 15:34:48     -116.599693        0.208202
BFGS:   11 15:34:48     -116.609299        0.223915
BFGS:   12 15:34:48     -116.613426        0.143055
BFGS:   13 15:34:49     -116.616707        0.123033
BFGS:   14 15:34:49     -116.618507        0.106784
BFGS:   15 15:34:49     -116.621170        0.107116
BFGS:   16 15:34:49     -116.622360        0.092573
BFGS:   17 15:34:49     -116.623543        0.076413
BFGS:   18 15:34:49     -116.624512        0.079232
BFGS:   19 15:34:49     -116.625580        0.066588
BFGS:   20 15:34:49     -116.626434        0.061439
BFGS:   21 15:34:49     -116.627182        0.066681
BFGS:   22 15:34:49     -116.627716        0.055232
BFGS:   23 15:34:49     -116.628326        0.057104
BFGS:   24 15:34:49     -116.628838        0.046295
{"name": "candidate", "smiles": "FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F", "n_atoms": 20, "mace": {"energy_ev": -110.57454681396484, "converged": true}, "chgnet": {"energy_ev": -116.62883758544922, "converged": true}, "xtb": {"homo_ev": -14.9147, "lumo_ev": -5.3146, "total_energy_ev": -2150.6327392159214}, "point_per_atom": [-5.528727340698242, -5.831441879272461, -14.9147], "in_envelope": false, "hull_ref": "envelope_stats_v2.json", "in_documented_families": false, "families_matched": []}
