Using Materials Project MACE for MACECalculator with C:\Users\evari\.cache\mace/20231203mace128L1_epoch199model
Using float32 for MACECalculator, which is faster but less accurate. Recommended for MD. Use float64 for geometry optimization.
      Step     Time          Energy          fmax
BFGS:    0 15:35:47      -93.114914        2.059424
BFGS:    1 15:35:47      -93.268753        0.688199
BFGS:    2 15:35:48      -93.349884        0.544243
BFGS:    3 15:35:48      -93.388321        0.434479
BFGS:    4 15:35:48      -93.421486        0.359659
BFGS:    5 15:35:48      -93.464821        0.437282
BFGS:    6 15:35:48      -93.501282        0.367698
BFGS:    7 15:35:49      -93.522903        0.238985
BFGS:    8 15:35:49      -93.538086        0.209653
BFGS:    9 15:35:49      -93.555534        0.336438
BFGS:   10 15:35:49      -93.574326        0.410778
BFGS:   11 15:35:49      -93.588509        0.327998
BFGS:   12 15:35:49      -93.597694        0.194772
BFGS:   13 15:35:49      -93.604469        0.152903
BFGS:   14 15:35:49      -93.609314        0.132252
BFGS:   15 15:35:49      -93.612816        0.124740
BFGS:   16 15:35:49      -93.615852        0.107359
BFGS:   17 15:35:49      -93.618683        0.106611
BFGS:   18 15:35:49      -93.620926        0.072201
BFGS:   19 15:35:49      -93.622345        0.066980
BFGS:   20 15:35:49      -93.623169        0.061647
BFGS:   21 15:35:49      -93.623726        0.058216
BFGS:   22 15:35:49      -93.624252        0.054990
BFGS:   23 15:35:49      -93.624741        0.047237
CHGNet v0.3.0 initialized with 412,525 parameters
CHGNet will run on cuda
      Step     Time          Energy          fmax
BFGS:    0 15:35:50      -98.321396        2.207990
BFGS:    1 15:35:50      -98.482491        0.610857
BFGS:    2 15:35:50      -98.540474        0.438157
BFGS:    3 15:35:50      -98.577240        0.392514
BFGS:    4 15:35:50      -98.593658        0.358008
BFGS:    5 15:35:50      -98.641098        0.451576
BFGS:    6 15:35:50      -98.667358        0.357038
BFGS:    7 15:35:50      -98.682976        0.211526
BFGS:    8 15:35:50      -98.691330        0.199887
BFGS:    9 15:35:50      -98.701256        0.228962
BFGS:   10 15:35:50      -98.714729        0.351997
BFGS:   11 15:35:50      -98.725517        0.299483
BFGS:   12 15:35:50      -98.732368        0.186336
BFGS:   13 15:35:50      -98.736786        0.125666
BFGS:   14 15:35:51      -98.740234        0.123758
BFGS:   15 15:35:51      -98.742386        0.103579
BFGS:   16 15:35:51      -98.743607        0.077860
BFGS:   17 15:35:51      -98.744255        0.074007
BFGS:   18 15:35:51      -98.745354        0.066764
BFGS:   19 15:35:51      -98.746101        0.058009
BFGS:   20 15:35:51      -98.746361        0.031534
{"name": "candidate", "smiles": "FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F", "n_atoms": 17, "mace": {"energy_ev": -93.62474060058594, "converged": true}, "chgnet": {"energy_ev": -98.7463607788086, "converged": true}, "xtb": {"homo_ev": -15.0496, "lumo_ev": -4.8664, "total_energy_ev": -1835.0142760750555}, "point_per_atom": [-5.5073376823874085, -5.808609457576976, -15.0496], "in_envelope": false, "hull_ref": "envelope_stats_v2.json", "in_documented_families": false, "families_matched": []}
