Using Materials Project MACE for MACECalculator with C:\Users\evari\.cache\mace/20231203mace128L1_epoch199model
Using float32 for MACECalculator, which is faster but less accurate. Recommended for MD. Use float64 for geometry optimization.
      Step     Time          Energy          fmax
BFGS:    0 15:37:41     -223.406265        1.580580
BFGS:    1 15:37:42     -223.743729        0.845982
BFGS:    2 15:37:43     -223.940079        0.485963
BFGS:    3 15:37:44     -224.011353        0.447211
BFGS:    4 15:37:44     -224.115341        0.434438
BFGS:    5 15:37:45     -224.213455        0.494965
BFGS:    6 15:37:45     -224.292816        0.521090
BFGS:    7 15:37:45     -224.343719        0.454298
BFGS:    8 15:37:45     -224.391876        0.325503
BFGS:    9 15:37:45     -224.435211        0.282627
BFGS:   10 15:37:45     -224.467239        0.359977
BFGS:   11 15:37:45     -224.487366        0.312248
BFGS:   12 15:37:45     -224.503677        0.284102
BFGS:   13 15:37:45     -224.520355        0.212210
BFGS:   14 15:37:45     -224.535645        0.239428
BFGS:   15 15:37:45     -224.545868        0.177503
BFGS:   16 15:37:45     -224.552505        0.129447
BFGS:   17 15:37:45     -224.558197        0.120442
BFGS:   18 15:37:45     -224.563309        0.147044
BFGS:   19 15:37:46     -224.567566        0.135072
BFGS:   20 15:37:46     -224.571182        0.129396
BFGS:   21 15:37:46     -224.574875        0.114306
BFGS:   22 15:37:46     -224.578430        0.165005
BFGS:   23 15:37:46     -224.581100        0.131677
BFGS:   24 15:37:46     -224.583099        0.072412
BFGS:   25 15:37:46     -224.585159        0.081175
BFGS:   26 15:37:46     -224.587799        0.117004
BFGS:   27 15:37:46     -224.590652        0.124529
BFGS:   28 15:37:46     -224.593048        0.104387
BFGS:   29 15:37:46     -224.595093        0.088157
BFGS:   30 15:37:46     -224.597412        0.115801
BFGS:   31 15:37:46     -224.600159        0.153760
BFGS:   32 15:37:46     -224.602997        0.129610
BFGS:   33 15:37:46     -224.605392        0.084110
BFGS:   34 15:37:47     -224.607483        0.094328
BFGS:   35 15:37:47     -224.609604        0.122173
BFGS:   36 15:37:47     -224.611481        0.102124
BFGS:   37 15:37:47     -224.613007        0.072832
BFGS:   38 15:37:47     -224.614441        0.077776
BFGS:   39 15:37:47     -224.616318        0.095422
BFGS:   40 15:37:47     -224.618973        0.136493
BFGS:   41 15:37:47     -224.621902        0.139550
BFGS:   42 15:37:47     -224.624207        0.084133
BFGS:   43 15:37:47     -224.625717        0.067028
BFGS:   44 15:37:47     -224.626923        0.061748
BFGS:   45 15:37:47     -224.628113        0.065491
BFGS:   46 15:37:47     -224.629242        0.054619
BFGS:   47 15:37:47     -224.630203        0.059235
BFGS:   48 15:37:47     -224.631027        0.057611
BFGS:   49 15:37:47     -224.631775        0.057888
BFGS:   50 15:37:47     -224.632431        0.048531
CHGNet v0.3.0 initialized with 412,525 parameters
CHGNet will run on cuda
      Step     Time          Energy          fmax
BFGS:    0 15:37:48     -235.598114        2.028712
BFGS:    1 15:37:48     -235.927063        0.634591
BFGS:    2 15:37:48     -236.051178        0.457370
BFGS:    3 15:37:48     -236.132355        0.514152
BFGS:    4 15:37:48     -236.182587        0.458370
BFGS:    5 15:37:48     -236.290054        0.497506
BFGS:    6 15:37:48     -236.366287        0.541691
BFGS:    7 15:37:48     -236.415894        0.408927
BFGS:    8 15:37:48     -236.451950        0.371862
BFGS:    9 15:37:49     -236.491547        0.294788
BFGS:   10 15:37:49     -236.530121        0.471217
BFGS:   11 15:37:49     -236.562714        0.472670
BFGS:   12 15:37:49     -236.580826        0.219415
BFGS:   13 15:37:49     -236.595459        0.211286
BFGS:   14 15:37:49     -236.610641        0.278753
BFGS:   15 15:37:49     -236.625046        0.324832
BFGS:   16 15:37:49     -236.635208        0.170544
BFGS:   17 15:37:49     -236.640915        0.127037
BFGS:   18 15:37:49     -236.645737        0.156312
BFGS:   19 15:37:49     -236.649094        0.152244
BFGS:   20 15:37:49     -236.651016        0.074626
BFGS:   21 15:37:49     -236.653381        0.084342
BFGS:   22 15:37:49     -236.656357        0.184156
BFGS:   23 15:37:49     -236.659683        0.199388
BFGS:   24 15:37:50     -236.662277        0.138037
BFGS:   25 15:37:50     -236.663727        0.077437
BFGS:   26 15:37:50     -236.665131        0.073746
BFGS:   27 15:37:50     -236.666794        0.089618
BFGS:   28 15:37:50     -236.668381        0.089238
BFGS:   29 15:37:50     -236.669601        0.073421
BFGS:   30 15:37:50     -236.671417        0.079738
BFGS:   31 15:37:50     -236.672760        0.100929
BFGS:   32 15:37:50     -236.674881        0.127164
BFGS:   33 15:37:50     -236.676346        0.096081
BFGS:   34 15:37:50     -236.677948        0.086388
BFGS:   35 15:37:50     -236.679474        0.112184
BFGS:   36 15:37:51     -236.681030        0.152170
BFGS:   37 15:37:51     -236.683273        0.131759
BFGS:   38 15:37:51     -236.686325        0.124151
BFGS:   39 15:37:51     -236.688461        0.101702
BFGS:   40 15:37:51     -236.692383        0.116851
BFGS:   41 15:37:51     -236.695374        0.118360
BFGS:   42 15:37:51     -236.698669        0.129026
BFGS:   43 15:37:51     -236.702454        0.152331
BFGS:   44 15:37:51     -236.705154        0.133908
BFGS:   45 15:37:51     -236.707886        0.136098
BFGS:   46 15:37:51     -236.710739        0.089593
BFGS:   47 15:37:51     -236.712921        0.073412
BFGS:   48 15:37:51     -236.714767        0.093420
BFGS:   49 15:37:51     -236.716156        0.091551
BFGS:   50 15:37:52     -236.717163        0.080269
{"name": "candidate", "smiles": "FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F", "n_atoms": 40, "mace": {"energy_ev": -224.63243103027344, "converged": true}, "chgnet": {"energy_ev": -236.7171630859375, "converged": false}, "xtb": {"homo_ev": -14.9642, "lumo_ev": -6.0979, "total_energy_ev": -4252.371423496365}, "point_per_atom": [-5.615810775756836, -5.917929077148438, -14.9642], "in_envelope": false, "hull_ref": "envelope_stats_v2.json", "in_documented_families": false, "families_matched": []}
