Using Materials Project MACE for MACECalculator with C:\Users\evari\.cache\mace/20231203mace128L1_epoch199model
Using float32 for MACECalculator, which is faster but less accurate. Recommended for MD. Use float64 for geometry optimization.
      Step     Time          Energy          fmax
BFGS:    0 15:35:14     -122.149025        2.306933
BFGS:    1 15:35:14     -122.377228        1.220479
BFGS:    2 15:35:15     -122.575417        0.893341
BFGS:    3 15:35:15     -122.667793        0.685166
BFGS:    4 15:35:15     -122.734619        0.580774
BFGS:    5 15:35:15     -122.787460        0.431683
BFGS:    6 15:35:15     -122.825096        0.460053
BFGS:    7 15:35:16     -122.854874        0.416708
BFGS:    8 15:35:16     -122.890121        0.361800
BFGS:    9 15:35:16     -122.921448        0.358626
BFGS:   10 15:35:16     -122.943115        0.285410
BFGS:   11 15:35:16     -122.958191        0.274268
BFGS:   12 15:35:16     -122.971268        0.313407
BFGS:   13 15:35:16     -122.985588        0.317878
BFGS:   14 15:35:16     -123.002876        0.326445
BFGS:   15 15:35:16     -123.022011        0.316433
BFGS:   16 15:35:16     -123.040810        0.329742
BFGS:   17 15:35:17     -123.056488        0.275620
BFGS:   18 15:35:17     -123.069107        0.258293
BFGS:   19 15:35:17     -123.081360        0.235140
BFGS:   20 15:35:17     -123.096138        0.239219
BFGS:   21 15:35:17     -123.117348        0.408553
BFGS:   22 15:35:17     -123.148262        0.571272
BFGS:   23 15:35:17     -123.187706        0.600783
BFGS:   24 15:35:17     -123.229904        0.498411
BFGS:   25 15:35:17     -123.262512        0.332819
BFGS:   26 15:35:17     -123.281731        0.269652
BFGS:   27 15:35:17     -123.288719        0.408173
BFGS:   28 15:35:17     -123.301575        0.228242
BFGS:   29 15:35:17     -123.307442        0.168689
BFGS:   30 15:35:17     -123.314751        0.149701
BFGS:   31 15:35:17     -123.318497        0.162539
BFGS:   32 15:35:17     -123.326004        0.210913
BFGS:   33 15:35:17     -123.331932        0.184739
BFGS:   34 15:35:17     -123.337952        0.135042
BFGS:   35 15:35:17     -123.342743        0.140704
BFGS:   36 15:35:17     -123.346855        0.149424
BFGS:   37 15:35:17     -123.349777        0.133974
BFGS:   38 15:35:18     -123.352310        0.117948
BFGS:   39 15:35:18     -123.355148        0.132406
BFGS:   40 15:35:18     -123.358337        0.151014
BFGS:   41 15:35:18     -123.361191        0.114510
BFGS:   42 15:35:18     -123.363327        0.109953
BFGS:   43 15:35:18     -123.365044        0.107931
BFGS:   44 15:35:18     -123.366951        0.103543
BFGS:   45 15:35:18     -123.369293        0.117733
BFGS:   46 15:35:18     -123.371819        0.121781
BFGS:   47 15:35:18     -123.374329        0.135281
BFGS:   48 15:35:18     -123.376961        0.117182
BFGS:   49 15:35:18     -123.379433        0.124551
BFGS:   50 15:35:18     -123.381432        0.104775
CHGNet v0.3.0 initialized with 412,525 parameters
CHGNet will run on cuda
      Step     Time          Energy          fmax
BFGS:    0 15:35:19     -129.127777        2.542887
BFGS:    1 15:35:19     -129.305908        0.997971
BFGS:    2 15:35:19     -129.412567        0.857347
BFGS:    3 15:35:19     -129.536636        0.676500
BFGS:    4 15:35:19     -129.576187        0.540285
BFGS:    5 15:35:19     -129.627869        0.481989
BFGS:    6 15:35:19     -129.653412        0.385153
BFGS:    7 15:35:19     -129.674377        0.319165
BFGS:    8 15:35:19     -129.692764        0.375704
BFGS:    9 15:35:19     -129.713974        0.406602
BFGS:   10 15:35:19     -129.731369        0.290110
BFGS:   11 15:35:19     -129.747253        0.250229
BFGS:   12 15:35:19     -129.756073        0.242936
BFGS:   13 15:35:20     -129.765625        0.249536
BFGS:   14 15:35:20     -129.773026        0.231424
BFGS:   15 15:35:20     -129.784546        0.245661
BFGS:   16 15:35:20     -129.792801        0.208134
BFGS:   17 15:35:20     -129.802505        0.220175
BFGS:   18 15:35:20     -129.810104        0.176395
BFGS:   19 15:35:20     -129.817062        0.138526
BFGS:   20 15:35:20     -129.822815        0.185392
BFGS:   21 15:35:20     -129.829178        0.216909
BFGS:   22 15:35:20     -129.839157        0.224894
BFGS:   23 15:35:20     -129.847046        0.230440
BFGS:   24 15:35:20     -129.858032        0.273905
BFGS:   25 15:35:20     -129.866318        0.239214
BFGS:   26 15:35:20     -129.875488        0.179354
BFGS:   27 15:35:20     -129.881058        0.153368
BFGS:   28 15:35:20     -129.885742        0.174868
BFGS:   29 15:35:20     -129.891174        0.221821
BFGS:   30 15:35:20     -129.896301        0.211417
BFGS:   31 15:35:20     -129.906128        0.168250
BFGS:   32 15:35:21     -129.910294        0.151766
BFGS:   33 15:35:21     -129.913513        0.127840
BFGS:   34 15:35:21     -129.915771        0.116360
BFGS:   35 15:35:21     -129.917999        0.109817
BFGS:   36 15:35:21     -129.921295        0.111836
BFGS:   37 15:35:21     -129.923660        0.114846
BFGS:   38 15:35:21     -129.926880        0.193744
BFGS:   39 15:35:21     -129.928802        0.158872
BFGS:   40 15:35:21     -129.931274        0.072635
BFGS:   41 15:35:21     -129.932327        0.079570
BFGS:   42 15:35:21     -129.933243        0.071095
BFGS:   43 15:35:21     -129.934631        0.077732
