#"Step" "Potential Energy (kJ/mole)" "Temperature (K)"
500 22328.389822829344 202.9605253448418
1000 22493.892607558348 251.64896957413524
1500 22544.41871928034 279.0632406981855
2000 22637.439174044706 297.7336866179727
2500 22545.84203087149 305.81154162580003
3000 22595.79972492514 286.90298457578814
3500 22539.4090160018 296.1361992455572
4000 22516.892433512785 287.8927028007348
4500 22491.12995563803 308.23956422514925
5000 22579.823166239836 301.80570736349244
5500 22466.93869339285 281.98861316457675
6000 22387.78642021475 276.6634549948511
6500 22187.193048108198 303.22095661269145
7000 22336.88161979971 268.38065719653287
7500 22261.636536944487 308.4108380217217
8000 22282.54573952017 282.6914064762943
8500 22410.984772074797 294.74610786913735
9000 22395.446440089323 291.4569851048808
9500 22297.77903209982 317.476834193814
10000 22437.447547305204 302.7762755658758
10500 22372.43302856741 317.16052087994535
11000 22322.052551615812 334.6990878190515
11500 22436.187615740873 310.8348553875936
12000 22342.85480152426 306.5453504642573
12500 22282.594734538176 300.0289357275499
13000 22256.49585281668 287.35277229528737
13500 22234.211111415007 279.8483665905705
14000 22280.76952492056 276.92800066602587
14500 22359.23228298483 290.1922575363001
15000 22335.151819575407 280.90725019112796
15500 22322.0399755126 290.66695280148616
16000 22282.9960135108 295.0881047426791
16500 22228.156464923002 296.55780013445997
17000 22309.206809390165 303.22476158449484
17500 22302.512555468657 303.88514948677164
18000 22383.95963274298 297.50809184236454
18500 22374.67348133383 300.22288915868745
19000 22322.29104470072 295.07366086945166
19500 22239.19987045584 306.4573855240124
20000 22227.5901330596 301.71333666642255
20500 22287.087142336943 293.8775229241694
21000 22325.79676305113 294.27218861793745
21500 22350.863319385626 292.28056123864775
22000 22244.66851650534 304.5103914652852
22500 22271.227491725065 289.45181502989607
23000 22257.24871193228 289.34011908129827
23500 22277.015886653044 284.347245093932
24000 22245.5879682189 307.6786312766553
24500 22156.517725337126 296.959124528884
25000 22224.168018687345 284.2375517620728
25500 22181.702871668913 301.8914193599063
26000 22233.701166499235 283.08677308592087
26500 22190.15080581961 291.97143231232894
27000 22230.81477772055 286.03592662608344
27500 22166.726724970915 289.2828943079915
28000 22275.633612025358 294.0329510157973
