#"Step" "Potential Energy (kJ/mole)" "Temperature (K)"
100 43924.15995265746 176.5187178664481
200 44066.51116228306 174.06029237930986
300 44110.82692291045 183.92311231945942
400 44144.59057714247 194.92961771887212
500 44183.74442865157 200.32990096655345
600 44181.34915305876 204.35630848994288
700 44233.445762174364 224.9426194926425
800 44195.45154811644 246.45487172250154
900 44260.49408199095 231.84906357250625
1000 44380.57075073027 228.01383147709052
1100 44389.0537915399 249.20736711353652
1200 44410.355240361925 251.25443280927905
1300 44353.601555841204 263.41171231759455
1400 44399.111866491075 265.5710513180141
1500 44431.70711880752 271.17479244237165
1600 44479.82444979453 269.71425797623516
1700 44476.15670754218 274.0533294768068
1800 44456.26515390181 278.6846714548282
1900 44442.88557197356 283.920348078666
2000 44412.75091888213 283.86775575114723
2100 44513.57338597083 281.6948937883382
2200 44469.40003849768 297.02423495424415
2300 44483.044273870226 286.3596614758143
2400 44487.43737627768 301.55066491759885
2500 44528.270390050646 287.05590319061224
2600 44523.49887801909 292.1135456523468
2700 44487.77880753779 271.78466168771433
2800 44449.55230458283 278.8095134805971
2900 44528.17767335677 263.6863429630564
3000 44499.138488786455 282.26015906902535
3100 44455.68611861968 276.696550607243
3200 44483.27056552672 272.1474914931156
3300 44442.257431524034 272.21794176491875
3400 44424.84053041243 284.60505710578104
3500 44461.64624549651 276.1946742127565
3600 44466.13979484343 280.8069586288621
3700 44551.19959165358 267.2281049633911
3800 44438.18490649962 287.2464515457332
3900 44545.92963220381 272.3578335391533
4000 44529.736073034044 276.02664595226
4100 44518.94118549132 283.59865970521173
4200 44491.36174775862 294.3595570266295
4300 44541.126269834276 281.913905798166
4400 44594.609948652025 278.52716711264287
4500 44560.368016259905 297.87503649522336
4600 44591.52334405684 285.67459801621726
4700 44557.07224656844 300.1602262907836
4800 44558.271111505266 290.2074622923218
4900 44671.36926032805 278.64298474213973
5000 44567.4896078279 303.5628053818477
5100 44569.212914006945 296.0266438376503
5200 44604.11598541045 285.87940546272864
5300 44608.45116611027 291.5199257731011
5400 44613.07875539565 303.27489715032993
5500 44578.45337535643 291.5711003706919
5600 44581.88685991072 293.38034187102454
5700 44545.028922574755 299.109688414189
5800 44614.35244371199 289.7213990393392
5900 44633.619758026834 279.4159201932312
6000 44614.139975445505 291.04561332009797
6100 44541.24952127242 300.9014264027191
6200 44563.71703590655 295.5334101429167
6300 44496.5230457952 293.17408943054807
6400 44534.254877703424 301.85193252728357
6500 44546.346845405336 303.4751515026498
6600 44573.823723452326 308.55550490726824
6700 44595.81524254584 303.94804622572497
6800 44615.80887092852 309.94935153871796
6900 44564.7120523622 317.6601119763471
7000 44587.72606863284 311.785475379607
7100 44582.52035285735 303.5937227998913
7200 44556.49191238188 311.93046552877473
7300 44574.50476218962 301.4041479823549
7400 44625.231458680864 294.2235094816225
7500 44543.541039006945 304.45183110280675
7600 44539.12900115752 309.39894515823704
7700 44499.870083348986 313.9312914176372
7800 44643.6714692285 287.50995846406823
7900 44646.336678998705 289.3641583615384
8000 44622.41696931624 292.9511513993814
8100 44633.18362499976 299.4767986734111
8200 44601.87648774886 302.64667920803544
8300 44598.633102433916 299.5881722648647
8400 44621.0559063127 289.6577102487307
8500 44630.528927581545 288.604227856132
8600 44502.76579179072 312.168753212815
8700 44574.66875304484 295.40886802155563
8800 44501.59097697043 325.1460531642514
8900 44559.55140401625 312.72791134919714
9000 44611.042641179796 315.0512707966632
9100 44618.81053449416 316.8231878302393
9200 44624.64204837584 314.60763038537004
9300 44630.69866463744 306.44057902324465
9400 44627.138982074495 315.1038631241819
9500 44551.96641518378 321.90872140190214
9600 44533.07834507727 315.19247124467734
9700 44568.948321001764 299.38840866521224
9800 44677.74506618285 285.860020732368
9900 44614.4286875894 309.79803613294877
10000 44572.839376943346 300.2691188548633
